תאריך,מחיר קניה,מחיר פדיון,שיעור הוספה (%),דמי ניהול (%),שווי נכסים במיל' ₪,דמי נאמנות
14/03/2024 00:00:00,544.31,544.31,0.000,2.460,212.6,0.050
13/03/2024 00:00:00,543.52,543.52,0.000,2.460,212.6,0.050
12/03/2024 00:00:00,543.80,543.80,0.000,2.460,212.6,0.050
11/03/2024 00:00:00,547.40,547.40,0.000,2.460,212.6,0.050
10/03/2024 00:00:00,549.67,549.67,0.000,2.460,199.9,0.050
07/03/2024 00:00:00,552.36,552.36,0.000,2.460,199.9,0.050
06/03/2024 00:00:00,554.52,554.52,0.000,2.460,199.9,0.050
05/03/2024 00:00:00,555.34,555.34,0.000,2.460,199.9,0.050
04/03/2024 00:00:00,556.08,556.08,0.000,2.460,199.9,0.050
03/03/2024 00:00:00,556.76,556.76,0.000,2.460,199.9,0.050
29/02/2024 00:00:00,552.22,552.22,0.000,2.460,199.9,0.050
28/02/2024 00:00:00,549.46,549.46,0.000,2.460,199.9,0.050
26/02/2024 00:00:00,551.14,551.14,0.000,2.460,199.9,0.050
25/02/2024 00:00:00,550.60,550.60,0.000,2.460,199.9,0.050
22/02/2024 00:00:00,546.67,546.67,0.000,2.460,199.9,0.050
21/02/2024 00:00:00,543.46,543.46,0.000,2.460,199.9,0.050
20/02/2024 00:00:00,544.11,544.11,0.000,2.460,199.9,0.050
19/02/2024 00:00:00,542.99,542.99,0.000,2.460,199.9,0.050
18/02/2024 00:00:00,538.12,538.12,0.000,2.460,199.9,0.050
15/02/2024 00:00:00,533.02,533.02,0.000,2.460,199.9,0.050
14/02/2024 00:00:00,530.09,530.09,0.000,2.460,199.9,0.050
13/02/2024 00:00:00,531.02,531.02,0.000,2.460,199.9,0.050
12/02/2024 00:00:00,528.06,528.06,0.000,2.460,199.9,0.050
11/02/2024 00:00:00,527.51,527.51,0.000,2.460,199.9,0.050
08/02/2024 00:00:00,529.64,529.64,0.000,2.460,201.4,0.050
07/02/2024 00:00:00,526.94,526.94,0.000,2.460,201.4,0.050
06/02/2024 00:00:00,525.26,525.26,0.000,2.460,201.4,0.050
05/02/2024 00:00:00,522.35,522.35,0.000,2.460,201.4,0.050
04/02/2024 00:00:00,520.32,520.32,0.000,2.460,201.4,0.050
01/02/2024 00:00:00,519.27,519.27,0.000,2.460,201.4,0.050
31/01/2024 00:00:00,522.08,522.08,0.000,2.460,201.4,0.050
30/01/2024 00:00:00,521.98,521.98,0.000,2.460,201.4,0.050
29/01/2024 00:00:00,520.35,520.35,0.000,2.460,201.4,0.050
28/01/2024 00:00:00,520.31,520.31,0.000,2.460,201.4,0.050
25/01/2024 00:00:00,513.90,513.90,0.000,2.460,201.4,0.050
24/01/2024 00:00:00,512.77,512.77,0.000,2.460,201.4,0.050
23/01/2024 00:00:00,510.34,510.34,0.000,2.460,201.4,0.050
22/01/2024 00:00:00,511.46,511.46,0.000,2.460,201.4,0.050
21/01/2024 00:00:00,513.17,513.17,0.000,2.460,201.4,0.050
18/01/2024 00:00:00,514.19,514.19,0.000,2.460,201.4,0.050
17/01/2024 00:00:00,510.57,510.57,0.000,2.460,201.4,0.050
16/01/2024 00:00:00,512.26,512.26,0.000,2.460,201.4,0.050
15/01/2024 00:00:00,514.93,514.93,0.000,2.460,201.4,0.050
14/01/2024 00:00:00,516.43,516.43,0.000,2.460,201.4,0.050
11/01/2024 00:00:00,515.38,515.38,0.000,2.460,201.4,0.050
10/01/2024 00:00:00,513.18,513.18,0.000,2.460,201.4,0.050
